region_id,name,mix_alpha,k0_cons,k0_prod,k0_pick,k17_cons,k17_prod,k17_pick,k35_cons,k35_prod,k35_pick,k50_cons,k50_prod,k50_pick
0,Malaysia,0.65,6.5194,3.3565,base,0.8478,0.4365,solar,0.4448,0.229,wind,0.3602,0.1854,wind
1,Chile,0.0,15.8064,8.1112,base,9.8551,5.0573,solar,5.9312,3.0437,solar,3.0299,1.5548,solar
2,Bolivia,0.95,7.5809,6.1091,base,2.5862,2.0841,wind,0.7628,0.6147,wind,0.4932,0.3974,wind
3,Peru,0.9,6.0212,4.5608,base,1.0054,0.7616,wind,0.5309,0.4021,wind,0.4823,0.3653,wind
4,Dhekelia Sovereign Base Area,0.5,9.8278,7.0928,base,4.8932,3.5315,solar,2.4447,1.7644,solar,1.5904,1.1478,solar
5,Cyprus,0.15,8.4647,3.8105,base,4.8603,2.1879,solar,3.4591,1.5571,solar,2.8417,1.2792,solar
6,Israel,0.8,15.103,11.8017,base,9.5818,7.4874,wind,4.5928,3.5889,wind,2.3052,1.8013,wind
7,Palestine,0.6,14.7244,10.1958,base,8.7712,6.0735,wind,3.1185,2.1594,wind,2.1159,1.4652,wind
8,Lebanon,0.3,13.4128,7.913,base,9.1276,5.3849,wind,6.2456,3.6847,solar,3.9174,2.3111,solar
9,Ethiopia,0.8,4.3104,3.1201,base,0.5802,0.42,solar,0.5257,0.3806,solar,0.3762,0.2723,wind
10,South Sudan,1.0,8.1367,6.4645,base,2.4891,1.9775,wind,0.948,0.7532,wind,0.6768,0.5377,wind
11,Somalia,0.9,6.0755,4.7405,base,2.184,1.7041,solar,1.6321,1.2735,wind,1.0814,0.8437,wind
12,Kenya,0.9,5.0186,3.8721,base,1.5665,1.2086,solar,0.86,0.6635,wind,0.4347,0.3354,wind
13,Malawi,1.0,7.6973,5.8827,base,3.4982,2.6735,wind,2.3402,1.7885,wind,1.7264,1.3194,wind
14,United Republic of Tanzania,1.0,6.1191,4.8513,base,3.5946,2.8498,wind,3.0715,2.4351,wind,2.6205,2.0775,wind
15,Syria,0.85,20.0083,15.7852,base,14.3292,11.3048,wind,8.913,7.0317,wind,5.6797,4.4809,wind
16,Somaliland,1.0,5.4975,4.4176,base,1.1039,0.8871,wind,0.7649,0.6147,wind,0.6539,0.5255,wind
17,France,0.3,10.4193,8.0121,base,4.9603,3.8143,wind,3.9115,3.0078,wind,3.3197,2.5527,solar
18,Suriname,0.7,3.5595,2.1471,base,1.2531,0.7559,solar,0.6414,0.3869,solar,0.6414,0.3869,solar
19,Guyana,0.85,4.0052,2.713,base,1.0062,0.6816,solar,0.7315,0.4955,wind,0.6516,0.4414,wind
20,South Korea,0.3,10.0632,5.6539,base,5.0603,2.8431,solar,3.1721,1.7822,solar,2.2881,1.2856,solar
21,North Korea,0.55,16.7223,11.6676,base,9.3125,6.4976,wind,5.2401,3.6562,wind,3.8444,2.6823,wind
22,Morocco,0.9,15.4153,12.2392,base,9.6482,7.6603,wind,5.412,4.297,wind,2.9392,2.3336,wind
23,Western Sahara,0.3,12.2814,8.738,base,6.3945,4.5496,wind,3.3887,2.411,solar,2.032,1.4457,solar
24,Costa Rica,1.0,7.6065,5.9895,base,2.5406,2.0005,wind,1.1217,0.8833,wind,0.9636,0.7588,wind
