rank,region_id,name,country,level,continent,mix_alpha,mix_s_pct_production,mix_s_pct_demand,mix_f_adj,solar_cf,wind_cf,feasible
1,338,Nord-Kivu,Democratic Republic of the Congo,admin1,Africa,0.05,0.0005,0.1818,357.925,0.2047,0.0014,True
2,239,Kalimantan Timur,Indonesia,admin1,Asia,0.05,0.001,0.1792,177.3401,0.1989,0.0005,True
3,489,Sulawesi Tengah,Indonesia,admin1,Asia,0.05,0.0015,0.2195,143.8484,0.2258,0.007,True
4,378,Amazonas,Brazil,admin1,South America,0.05,0.0016,0.1917,119.3462,0.2038,0.0002,True
5,493,Gorontalo,Indonesia,admin1,Asia,0.05,0.0021,0.3718,176.7846,0.2302,0.0297,True
6,295,Kalimantan Barat,Indonesia,admin1,Asia,0.05,0.0037,0.3334,91.1313,0.2047,0.0009,True
7,283,Sud-Kivu,Democratic Republic of the Congo,admin1,Africa,0.05,0.0037,0.2939,79.0197,0.2049,0.0141,True
8,232,Clipperton Island,Clipperton Island,admin0,Seven seas (open ocean),0.05,0.0043,0.2523,58.4639,0.2536,0.1022,True
9,488,Papua Barat,Indonesia,admin1,Asia,0.05,0.0073,0.4295,59.0971,0.2142,0.0152,True
10,133,Gabon,Gabon,admin0,Africa,0.05,0.009,0.4385,48.8787,0.1868,0.0007,True
11,494,Sulawesi Utara,Indonesia,admin1,Asia,0.05,0.0208,0.7223,34.7782,0.2343,0.0312,True
12,226,Palau,Palau,admin0,Oceania,0.05,0.0316,0.8602,27.1799,0.2285,0.1942,True
13,245,Arunachal Pradesh,India,admin1,Asia,0.05,0.0422,1.3245,31.4022,0.1713,0.0265,True
14,337,Mizoram,India,admin1,Asia,0.05,0.0493,1.3853,28.1178,0.2041,0.0091,False
15,219,Nauru,Nauru,admin0,Oceania,0.05,0.0774,1.7239,22.276,0.2215,0.2346,False
16,119,US Naval Base Guantanamo Bay,US Naval Base Guantanamo Bay,admin0,North America,0.1,0.2541,2.5302,9.9593,0.2159,0.1096,True
17,490,Maluku Utara,Indonesia,admin1,Asia,0.2,0.3989,2.2725,5.6971,0.2348,0.0885,False
18,446,White Nile,Sudan,admin1,Africa,0.25,0.754,3.1164,4.133,0.2586,0.2756,True
19,228,Northern Mariana Islands,Northern Mariana Islands,admin0,Oceania,0.5,0.762,2.0089,2.6365,0.2036,0.2242,True
20,227,Guam,Guam,admin0,Oceania,0.5,0.762,2.0089,2.6365,0.2036,0.2242,True
21,504,Kalimantan Selatan,Indonesia,admin1,Asia,0.5,0.7788,2.0406,2.6202,0.1991,0.0149,True
22,122,Ecuador,Ecuador,admin0,South America,0.3,0.9329,3.8035,4.077,0.1839,0.0121,True
23,637,Chongqing,China,admin1,Asia,0.1,1.1086,9.3312,8.4173,0.122,0.0314,True
24,495,Sulawesi Barat,Indonesia,admin1,Asia,0.4,1.1685,3.3319,2.8514,0.2428,0.0167,True
25,304,Santa Catarina,Brazil,admin1,South America,0.1,1.2219,8.2918,6.7859,0.1843,0.0822,True
26,673,Tiaret,Algeria,admin1,Africa,0.0,1.5644,10.9932,7.0269,0.2013,0.2137,True
27,498,Lampung,Indonesia,admin1,Asia,0.55,1.7229,3.712,2.1545,0.201,0.0286,True
28,27,Bhutan,Bhutan,admin0,Asia,0.4,1.8284,4.4338,2.425,0.1875,0.0969,True
29,263,Gorno-Altay,Russia,admin1,Europe,0.05,1.9666,9.6708,4.9175,0.1451,0.0964,True
30,235,Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank (Petrel Is.),admin0,North America,0.3,2.1348,7.1365,3.3429,0.236,0.1264,True
31,18,Suriname,Suriname,admin0,South America,0.7,2.1471,3.5595,1.6578,0.2271,0.0089,True
32,200,São Tomé and Principe,São Tomé and Principe,admin0,Africa,1.0,2.1491,3.2157,1.4963,0.2047,0.3131,True
33,346,British Columbia,Canada,admin1,North America,0.0,2.2482,11.3635,5.0546,0.1319,0.093,True
34,231,Spratly Islands,Spratly Islands,admin0,Asia,0.45,2.275,5.7834,2.5421,0.2183,0.1576,True
35,59,Kyrgyzstan,Kyrgyzstan,admin0,Asia,0.0,2.3257,11.4465,4.9217,0.1793,0.1428,True
36,485,Banten,Indonesia,admin1,Asia,0.9,2.3486,3.2202,1.3711,0.2058,0.1082,True
37,667,Saïda,Algeria,admin1,Africa,0.0,2.3604,14.6085,6.1889,0.2037,0.2158,True
38,479,Maluku,Indonesia,admin1,Asia,0.7,2.4086,3.7612,1.5616,0.2251,0.1334,True
39,26,Republic of the Congo,Republic of the Congo,admin0,Africa,0.65,2.4493,4.3608,1.7804,0.1971,0.0014,True
40,73,Liberia,Liberia,admin0,Africa,0.45,2.5165,5.9016,2.3452,0.2079,0.0066,True
41,111,Rwanda,Rwanda,admin0,Africa,0.65,2.6043,4.7266,1.8149,0.2048,0.0622,True
42,220,Federated States of Micronesia,Federated States of Micronesia,admin0,Oceania,1.0,2.6458,3.8832,1.4677,0.2198,0.3154,True
43,376,Tabasco,Mexico,admin1,North America,0.2,2.6647,10.6571,3.9993,0.2213,0.065,True
44,606,Prince Edward Island,Canada,admin1,North America,0.25,2.7054,3.7096,1.3712,0.1447,0.5357,True
45,19,Guyana,Guyana,admin0,South America,0.85,2.713,4.0052,1.4763,0.2224,0.013,True
46,626,Gezira,Sudan,admin1,Africa,0.5,2.7737,5.9617,2.1494,0.2642,0.2764,True
47,503,Kalimantan Tengah,Indonesia,admin1,Asia,0.8,2.8953,4.4542,1.5384,0.2021,0.0008,True
48,160,New Caledonia,New Caledonia,admin0,Oceania,0.25,2.897,6.9943,2.4143,0.2361,0.2626,True
49,147,Equatorial Guinea,Equatorial Guinea,admin0,Africa,0.75,2.9215,4.505,1.542,0.1911,0.004,True
50,208,Indian Ocean Territories,Indian Ocean Territories,admin0,Asia,0.8,2.9475,4.3729,1.4836,0.2302,0.3759,True
51,9,Ethiopia,Ethiopia,admin0,Africa,0.8,3.1201,4.3104,1.3815,0.2523,0.1283,True
52,210,Singapore,Singapore,admin0,Asia,0.5,3.1513,6.2244,1.9752,0.1775,0.1108,True
53,484,Jakarta Raya,Indonesia,admin1,Asia,0.85,3.2424,4.6013,1.4191,0.2035,0.2277,True
54,423,Northern,Sudan,admin1,Africa,0.15,3.2718,5.4882,1.6774,0.2747,0.3862,True
55,168,Taiwan,Taiwan,admin0,Asia,0.25,3.3086,7.3891,2.2333,0.184,0.2362,True
56,627,Khartoum,Sudan,admin1,Africa,0.45,3.3368,6.8491,2.0526,0.2664,0.3431,False
57,0,Malaysia,Malaysia,admin0,Asia,0.65,3.3564,6.5194,1.9424,0.2024,0.001,True
58,209,British Indian Ocean Territory,British Indian Ocean Territory,admin0,Seven seas (open ocean),0.95,3.3681,4.5736,1.3579,0.2317,0.3175,True
