region_id,name,country,adm0_a3,continent,level,solar_cf,solar_f,solar_f_adj,solar_s_net_pct,solar_s_tot_pct,solar_converged,solar_s_seasonal_pct,solar_s_diurnal_pct,solar_s_tot_liion_pct,solar_s_tot_pumped_pct,solar_s_tot_h2_pct,solar_flaute_days,solar_gap30d_max,solar_trend_pct_decade,solar_trend_p,wind_cf,wind_f,wind_f_adj,wind_s_net_pct,wind_s_tot_pct,wind_converged,wind_s_seasonal_pct,wind_s_diurnal_pct,wind_s_tot_liion_pct,wind_s_tot_pumped_pct,wind_s_tot_h2_pct,wind_flaute_days,wind_gap30d_max,wind_trend_pct_decade,wind_trend_p,mix_alpha,mix_s_tot_pct,mix_f_adj
0,Malaysia,Malaysia,MYS,Asia,admin0,0.2024,1.0967,1.3118,5.2647,6.611,True,5.1872,1.4238,5.2035,4.9125,190.325,0.625,0.5836,1.5289,0.3106,0.001,8.5136,66.0347,64.0869,70.3411,True,70.2393,0.1018,64.0168,52.2451,94.0411,171.625,1.0,-39.5547,0.0246,0.65,6.5194,1.9424
1,Chile,Chile,CHL,South America,admin0,0.1997,1.0492,1.2703,16.9973,19.5157,True,18.2476,1.2681,17.3553,17.5476,430.2955,0.625,0.6419,2.3577,0.0001,0.2653,1.6985,1.9487,13.7284,15.8064,True,14.1269,1.6795,13.6663,12.1409,10.097,6.875,0.7278,-39.3752,0.0,0.0,15.8064,1.9487
2,Bolivia,Bolivia,BOL,South America,admin0,0.2212,1.036,1.2375,5.4976,9.1431,True,5.3078,3.8353,5.6683,5.9179,485.5884,0.625,0.6083,1.4164,0.0308,0.0668,1.6512,2.0994,32.4131,37.8068,True,37.2722,0.5346,32.924,31.8487,47.5371,13.25,0.9359,-0.0883,1.0,0.95,7.5809,1.2409
3,Peru,Peru,PER,South America,admin0,0.21,1.0447,1.2457,4.5893,6.6984,True,4.5594,2.1389,4.6718,4.7362,449.8467,0.625,0.6,1.1766,0.1583,0.0239,2.4249,3.5803,33.2779,38.2249,True,37.6154,0.6095,33.4577,31.8343,15.2371,23.875,0.9919,-52.6105,0.0,0.9,6.0212,1.3202
4,Dhekelia Sovereign Base Area,Dhekelia Sovereign Base Area,ESB,Asia,admin0,0.2158,1.0395,1.2664,20.0043,22.7905,True,21.8616,0.9289,20.4602,20.6493,479.3123,2.75,0.734,0.3466,0.6277,0.2658,1.4871,1.7801,22.231,25.5657,True,24.3133,1.2524,22.3232,20.9123,30.5689,6.875,0.8211,-3.0499,0.6277,0.5,9.8278,1.3856
5,Cyprus,Cyprus,CYP,Asia,admin0,0.2255,1.0337,1.2582,18.841,21.6926,True,20.8736,0.819,19.3357,19.6198,502.5839,1.75,0.7145,0.681,0.3321,0.2,2.1456,2.7702,12.2234,12.059,True,11.1466,0.9124,11.2978,8.3119,7.079,14.625,0.8701,-44.4726,0.0,0.15,8.4647,2.2214
6,Israel,Israel,ISR,Asia,admin0,0.2321,1.0294,1.2447,16.9585,19.3248,True,18.3508,0.974,17.3221,17.4607,520.2559,0.875,0.6794,1.5589,0.0042,0.2223,1.4259,1.6986,18.7571,21.9324,True,21.832,0.1004,18.931,18.0395,28.0384,6.625,0.7959,2.7445,0.7914,0.8,15.103,1.2797
7,Palestine,Palestine,PSX,Asia,admin0,0.2189,1.0367,1.2571,18.4168,20.8935,True,20.0607,0.8328,18.7962,18.8899,488.4644,1.75,0.6853,0.9516,0.1718,0.2098,1.7094,2.1316,19.9765,22.5704,True,22.7874,-0.217,19.7667,18.5609,23.1999,9.75,0.8525,0.1202,0.9648,0.6,14.7244,1.4442
8,Lebanon,Lebanon,LBN,Asia,admin0,0.2174,1.0422,1.269,19.4587,22.0821,True,21.1465,0.9356,19.8817,20.0077,467.1632,2.625,0.7075,0.8781,0.2704,0.2037,1.777,2.211,14.2187,15.5809,True,15.1419,0.439,13.7073,12.1212,14.4008,12.75,0.8801,-29.4688,0.0,0.3,13.4128,1.695
9,Ethiopia,Ethiopia,ETH,Africa,admin0,0.2523,1.0615,1.2518,3.7101,5.359,True,4.0419,1.3171,3.7525,3.6791,355.2417,0.75,0.5711,2.7523,0.0,0.1283,2.3549,2.9609,33.3834,37.0628,True,34.7829,2.2799,32.9786,28.6968,15.6225,34.75,0.9548,37.4967,0.0,0.8,4.3104,1.3815
