HYBAS_ID,P_mm_yr,ET_mm_yr,runoff_mm_yr,T_degC,GWS_mm,region,SUB_AREA_km2,relief_m,mainstem_km,gradient_m_per_km
1060000010,42.68168,-16.258385,0.24065495,24.3943,368.30734,af,1890.8,879.0,51.95,16.920115495668913
1060000100,52.830338,-3.163095,1.1782155,23.122087,397.29932,af,2925.9,1274.0,101.79,12.515964240102171
1060000110,62.279854,-16.49723,0.05468881,24.120735,239.80434,af,893.5,1268.0,24.33,52.116728318947814
1060000150,26.165405,27.207184,4.974995,24.22334,358.38608,af,4217.3,1477.0,154.89999999999995,9.535183989670758
1060000160,14.624633,29.33725,8.625438,26.10075,296.9677,af,16638.1,2109.0,77.06,27.368284453672466
1060000790,7.23401,19.013517,7.266713,29.33889,349.7384,af,1832.5,1098.0,83.94000000000003,13.080771979985702
1060000800,11.794784,-43.267014,0.3942598,29.63048,311.43765,af,8646.8,1439.0,76.76,18.746743095362167
1060001080,11.6268425,-42.625053,0.0010729478,29.050432,337.18576,af,1955.7,1965.0,131.1,14.988558352402745
1060001090,16.395863,2.3812082,0.48714006,29.647694,239.78725,af,6566.3,1770.0,90.87,19.478375701551663
1060001370,9.313693,69.80372,3.5756426,30.848513,349.36453,af,11678.4,1458.0,271.19999999999993,5.376106194690268
1060001380,19.544844,54.8835,2.144498,30.658314,248.9273,af,5524.6,1593.0,113.49000000000002,14.03647898493259
1060001510,26.770758,53.825123,3.665158,31.229254,341.96008,af,13728.7,2170.0,220.32,9.849310094408134
1060001520,45.45542,27.369585,0.44441357,30.245817,285.34665,af,16198.5,2161.0,101.29000000000002,21.334781320959614
1060002290,88.60334,46.4929,0.15639241,32.03372,348.76895,af,4584.0,1656.0,199.85,8.286214660995746
1060002300,81.08692,69.9467,0.35720024,32.686165,334.45206,af,11221.8,1696.0,116.67,14.536727522070802
1060002760,91.84372,78.46728,0.6128492,34.466396,388.28915,af,4271.6,2731.0,117.69999999999996,23.20305862361938
1060002770,70.32977,22.481325,0.040730692,34.88151,128.58539,af,172.6,28.0,19.52,1.4344262295081966
1060002800,111.85523,79.919106,0.56069225,33.068314,401.92288,af,2409.1,2736.0,142.60999999999996,19.185190379356293
1060002810,184.54718,96.94219,0.64882684,32.244873,368.99756,af,16424.2,2679.0,138.86,19.292812905084254
1060003550,307.28857,228.15196,1.6318288,29.760284,527.7346,af,2046.4,2487.0,114.23,21.771863783594505
1060003560,205.90198,187.55995,1.8726678,31.812183,421.8267,af,1489.5,2269.0,70.47,32.198098481623376
1060003650,367.2568,259.25998,2.1760273,28.990038,592.8931,af,2236.5,2608.0,114.43,22.791226077077688
1060003660,310.5569,159.33665,1.2520685,30.712639,467.18497,af,2228.6,2520.0,90.79,27.756360832690824
1060003770,407.47543,241.3795,4.153777,25.889046,713.5494,af,2862.6,3000.0,104.25,28.776978417266182
1060003780,245.70143,70.78649,0.9268971,32.105885,292.10345,af,4886.4,2646.0,66.34,39.88543864938197
1060003990,187.46198,108.61489,4.367879,33.702774,323.75876,af,32813.9,2206.0,141.78000000000003,15.559317252080685
1060005140,384.02536,291.99075,8.8780575,30.68891,417.91885,af,4071.9,1879.0,181.21,10.369184923569339
1060005150,301.65085,186.70673,5.914948,32.80466,307.1318,af,6061.1,1739.0,119.11000000000004,14.599949626395766
1060005300,566.6337,292.27484,7.235388,28.399591,487.3291,af,3895.6,1849.0,172.40000000000006,10.725058004640367
1060005310,316.28357,170.95462,4.4831705,32.681545,369.21072,af,1119.5,1283.0,63.87,20.08767809613277
1060005340,519.52893,407.18982,11.271144,28.132421,508.924,af,3876.6,1648.0,152.8,10.785340314136123
1060005350,312.53146,214.74803,5.8856206,31.35589,405.52835,af,1709.9,1230.0,50.86000000000001,24.184034604797482
1060005420,412.2896,368.35443,8.834519,27.988466,508.7006,af,3750.6,1712.0,179.87000000000003,9.517985211541669
1060005430,333.84644,176.44588,4.2208486,30.691248,390.22296,af,5693.7,2017.0,72.93,27.65665706842177
1060005720,285.85553,106.28471,1.3004814,31.627941,467.44763,af,5339.9,1976.0,143.42000000000004,13.777715799748988
1060005730,194.73376,60.709034,1.1624496,33.18062,268.37234,af,3028.6,1684.0,68.75,24.494545454545456
1060005860,243.2682,118.755745,1.5135742,30.376284,490.68967,af,4797.4,1644.0,167.22,9.831359885181199
1060005870,171.66681,68.45374,1.5316873,33.68165,222.71542,af,477.4,1027.0,16.330000000000002,62.89038579301898
1060005880,223.40474,115.46328,1.3793995,30.60448,526.22485,af,4169.8,1867.0,139.86,13.349063349063348
1060005890,187.8292,129.55894,4.547134,30.710966,397.3793,af,14366.9,2456.0,81.89,29.99145194773477
1060006520,149.92467,74.03564,1.9800935,30.931211,497.70682,af,4781.1,2020.0,186.51000000000005,10.830518470859468
1060006530,108.97748,87.31351,2.4625578,31.772789,582.9875,af,11102.3,1867.0,193.32,9.657562590523485
1060006850,135.3864,161.83752,7.1916003,31.377113,687.99457,af,28620.5,2011.0,430.60999999999984,4.6701191333224985
1060006860,146.32758,78.392075,1.8229798,32.950714,562.5095,af,7037.8,797.0,143.65,5.548207448659936
1060007000,183.85408,176.97029,4.4819074,29.837519,668.10004,af,26077.6,2128.0,212.75,10.00235017626322
1060007010,168.36076,125.389275,4.277665,32.180088,343.73148,af,708.7,357.0,36.64,9.743449781659386
1060007060,158.04341,152.10062,2.8046181,31.350628,1084.0286,af,6517.1,960.0,223.06,4.303774769120417
1060007070,161.1427,133.02065,2.8588197,30.980047,764.4547,af,7799.8,744.0,113.09000000000003,6.578831019541955
1060007260,165.46399,110.379974,0.91332823,32.73052,1270.3773,af,5741.9,793.0,140.09999999999997,5.660242683797289
1060007270,214.10135,0.0,0.0,,0.0,af,23.9,157.0,,
1060007290,191.44446,132.4556,1.48308,32.13391,1092.9529,af,2737.4,708.0,147.13,4.812070957656495
1060007300,210.60014,105.36829,1.400736,31.776217,646.00354,af,988.3,208.0,47.42,4.386334879797554
1060007370,177.49698,137.79472,1.5434811,31.520824,1048.5233,af,2513.9,730.0,171.86000000000004,4.247643430699405
1060007380,222.21822,168.8905,0.9929665,31.503786,1301.3279,af,31.3,81.0,,
1060007390,170.39488,155.32959,1.595007,31.478788,1185.2218,af,2056.1,731.0,162.01999999999995,4.5117886680656705
1060007400,211.86044,145.26979,0.9080873,31.67614,1088.6974,af,660.4,137.0,43.83,3.1257129819758167
1060007450,163.66298,160.67075,1.5160524,31.339275,1238.1835,af,4430.6,660.0,137.62,4.795814561836941
1060007460,300.54208,284.8069,11.788535,29.655237,478.12405,af,17524.0,465.0,83.49999999999999,5.568862275449103
1060008100,424.06656,594.3785,18.320272,28.505638,413.62335,af,1426.2,81.0,29.47000000000001,2.748557855446216
1060008110,444.20227,156.23788,4.765859,28.071173,123.352,af,276.4,81.0,2.1,38.57142857142857
1060008130,577.575,417.71808,9.119647,30.88782,855.3834,af,10768.7,150.0,289.8400000000001,0.5175269113993927
1060008140,498.46948,115.72827,2.310291,29.924944,172.32506,af,147.0,44.0,6.02,7.308970099667776
1060008150,542.84424,371.7184,7.200417,31.643776,868.41077,af,11221.2,329.0,410.02000000000015,0.8023998829325397
1060008160,679.5276,485.8633,10.706467,29.805422,728.8728,af,7726.7,146.0,168.27,0.8676531764426221
1060008330,699.0199,482.15393,11.547298,30.226538,908.76245,af,5738.9,149.0,237.51,0.6273420066523514
1060008340,818.78705,385.69446,12.704291,29.39514,457.58084,af,451.4,42.0,17.09,2.4575775307197194
1060008360,592.6876,421.01035,9.627155,31.427599,1050.4757,af,9800.4,253.0,254.72,0.9932474874371859
1060008370,815.4224,595.7252,22.121717,29.18241,689.39496,af,3188.2,91.0,93.38,0.974512743628186
1060008470,793.4811,605.55414,30.485455,29.338598,794.3801,af,2065.9,92.0,56.81,1.6194331983805668
1060008480,735.85693,685.3345,31.364191,28.836428,613.5764,af,1482.6,213.0,52.99999999999999,4.018867924528302
1060008570,834.1951,1093.3595,86.70704,27.256763,525.8851,af,31.3,65.0,4.85,13.402061855670107
1060008580,753.2729,737.3828,45.726368,28.273003,772.30994,af,823.0,215.0,21.36,10.065543071161047
1060008640,589.36487,665.2139,27.423218,27.993092,1270.3931,af,7714.2,1992.0,268.45,7.420376233935556
1060008650,781.06506,829.7455,39.902966,27.84091,1028.1099,af,1382.1,331.0,63.60000000000001,5.2044025157232685
1060008720,646.2611,843.1845,25.709564,27.308088,1344.5483,af,3922.1,987.0,161.95,6.094473602963878
1060008730,819.4741,1446.7122,57.81603,26.36922,1275.1132,af,110.7,430.0,18.380000000000006,23.39499455930359
1060008740,616.1954,805.35425,31.630774,26.303486,1081.0315,af,4386.6,2198.0,264.9800000000001,8.294965657785491
1060008760,793.75024,1086.9663,51.471497,26.151762,1088.8834,af,3226.3,588.0,114.81,5.121505095374968
1060008880,728.0698,830.1729,36.093918,26.250648,1080.0559,af,6703.9,2284.0,226.14,10.099938091447775
1060008890,946.8308,1019.2647,45.923252,26.655718,966.66595,af,3837.2,1250.0,86.57999999999998,14.437514437514439
1060009010,937.65936,991.8965,42.708748,26.044039,1372.7797,af,3046.6,1168.0,98.88,11.812297734627832
1060009020,946.37646,923.7973,30.490023,25.624046,1233.7217,af,7777.6,1321.0,221.71,5.958233728744759
1060009130,926.5081,890.47125,27.644018,25.789482,1226.9171,af,7053.5,1963.0,150.48000000000005,13.044922913343964
